wall_s_center,bin,fmax_med,fmax_p25,fmax_p75,n_samples_in_bin,method,noise_pm
20.479616875351343,38,0.017141710966825485,0.012818471062928438,0.027194851078093052,287.0,GAD dt=0.003 (5k),50
23.515605237080855,39,0.01634574681520462,0.011858555488288403,0.027366625145077705,287.0,GAD dt=0.003 (5k),50
27.001661849044613,40,0.015856435522437096,0.011593109695240855,0.027677237521857023,286.0,GAD dt=0.003 (5k),50
31.004506805569168,41,0.017899855971336365,0.011766616255044937,0.03163144737482071,281.0,GAD dt=0.003 (5k),50
35.600751080830136,42,0.01765778660774231,0.012193207629024982,0.05536678433418274,277.0,GAD dt=0.003 (5k),50
40.87836279632643,43,0.017599033191800117,0.011666837614029646,0.05673075281083584,271.0,GAD dt=0.003 (5k),50
46.938350854285375,44,0.01782398298382759,0.011847525369375944,0.06671794317662716,260.0,GAD dt=0.003 (5k),50
53.89669816027922,45,0.01874541398137808,0.01166351092979312,0.07856128923594952,236.0,GAD dt=0.003 (5k),50
61.88658143525377,46,0.02357005514204502,0.011621078010648489,0.08610783144831657,220.0,GAD dt=0.003 (5k),50
71.0609201022428,47,0.029377751052379608,0.011969790328294039,0.09134751930832863,199.0,GAD dt=0.003 (5k),50
81.59530303124468,48,0.043285224586725235,0.013867096975445747,0.09894620627164841,175.0,GAD dt=0.003 (5k),50
93.69134915761549,49,0.04681001976132393,0.014883478172123432,0.09597265347838402,163.0,GAD dt=0.003 (5k),50
107.58056629329383,50,0.056987158954143524,0.021633016411215067,0.10226815938949585,148.0,GAD dt=0.003 (5k),50
123.52878198515151,51,0.057657390832901,0.02335630776360631,0.10532045736908913,142.0,GAD dt=0.003 (5k),50
141.84123122324826,52,0.057124944403767586,0.02342885173857212,0.10379645973443985,140.0,GAD dt=0.003 (5k),50
162.86839837330643,53,0.05724182352423668,0.022948183119297028,0.094825753942132,136.0,GAD dt=0.003 (5k),50
187.01272514291568,54,0.05683750659227371,0.024623132310807705,0.09420986659824848,134.0,GAD dt=0.003 (5k),50
214.7363129661119,55,0.056045420467853546,0.02323535131290555,0.09489656798541546,134.0,GAD dt=0.003 (5k),50
246.56976722327977,56,0.05427028611302376,0.021456584334373474,0.09556884318590164,133.0,GAD dt=0.003 (5k),50
283.1223525670614,57,0.05072489753365517,0.0212081465870142,0.09468003734946251,131.0,GAD dt=0.003 (5k),50
325.0936537183841,58,0.051528023555874825,0.021637339144945145,0.09496681950986385,130.0,GAD dt=0.003 (5k),50
373.28696491011067,59,2.337000608444214,2.337000608444214,2.337000608444214,1.0,GAD dt=0.003 (5k),50
0.10715616606015754,0,8.624768257141113,8.609021186828613,8.640515327453613,2.0,GAD dt=0.003 (5k),100
0.12304146679728924,1,7.660679340362549,6.134526252746582,9.154075145721436,279.0,GAD dt=0.003 (5k),100
0.1412816742914194,2,6.302157402038574,6.161915063858032,6.442399740219116,2.0,GAD dt=0.003 (5k),100
0.16222589026406567,3,7.754497289657593,7.262184262275696,8.24681031703949,2.0,GAD dt=0.003 (5k),100
0.1862749688093626,4,5.9423370361328125,4.894347667694092,7.124790668487549,281.0,GAD dt=0.003 (5k),100
0.21388918839309942,5,4.527066707611084,4.527066707611084,4.527066707611084,1.0,GAD dt=0.003 (5k),100
0.24559706118259372,6,4.7331223487854,3.9312429428100586,5.7046732902526855,283.0,GAD dt=0.003 (5k),100
0.28200544831032087,7,4.072342395782471,3.1011098623275757,5.382696151733398,7.0,GAD dt=0.003 (5k),100
0.32381117466865444,8,3.9033734798431396,3.1967263221740723,4.848034143447876,279.0,GAD dt=0.003 (5k),100
0.3718143655327966,9,3.2601819038391113,2.74919593334198,4.0392502546310425,284.0,GAD dt=0.003 (5k),100
0.42693376026327295,10,2.851318359375,2.3948330879211426,3.494654417037964,285.0,GAD dt=0.003 (5k),100
0.4902242961789493,11,2.440835475921631,2.086305260658264,3.0659031867980957,286.0,GAD dt=0.003 (5k),100
0.5628972991406223,12,2.1825122833251953,1.8410352766513824,2.7517754435539246,286.0,GAD dt=0.003 (5k),100
0.6463436672754064,13,1.8628857135772705,1.5301408171653748,2.351172983646393,286.0,GAD dt=0.003 (5k),100
0.7421604915582602,14,1.638318955898285,1.3345839083194733,2.037684679031372,286.0,GAD dt=0.003 (5k),100
0.852181622745446,15,1.4061769247055054,1.1155816912651062,1.754719227552414,284.0,GAD dt=0.003 (5k),100
0.9785127696844709,16,1.227437138557434,0.9974925518035889,1.5318810939788818,285.0,GAD dt=0.003 (5k),100
1.1235718007516622,17,1.0325706005096436,0.8552333116531372,1.296305775642395,285.0,GAD dt=0.003 (5k),100
1.290135019751871,18,0.8898981213569641,0.7530675828456879,1.1109519004821777,287.0,GAD dt=0.003 (5k),100
1.4813903019608143,19,0.7742556035518646,0.638242319226265,0.9293932914733887,286.0,GAD dt=0.003 (5k),100
